Measure type,Statistical Geography,Year,Aged 16 to 64 years level 3 or above qualifications,Unit of Measure,Upper Confidence Interval,Lower Confidence Interval,Observation Status
Aged 16 to 64 years level 3 or above qualifications,Vale of White Horse,2020,72.1,per cent,83.1,61.1,
Aged 16 to 64 years level 3 or above qualifications,Chelmsford,2020,62.9,per cent,73.8,52.0,
Aged 16 to 64 years level 3 or above qualifications,Gloucester,2020,54.5,per cent,67.0,42.0,
Aged 16 to 64 years level 3 or above qualifications,Rushmoor,2020,59.3,per cent,73.2,45.4,
Aged 16 to 64 years level 3 or above qualifications,Buckinghamshire,2020,64.7,per cent,70.2,59.2,
Aged 16 to 64 years level 3 or above qualifications,Essex,2020,55.8,per cent,59.8,51.8,
Aged 16 to 64 years level 3 or above qualifications,North Yorkshire,2020,58.7,per cent,64.2,53.2,
Aged 16 to 64 years level 3 or above qualifications,Worcestershire,2020,59.0,per cent,64.2,53.8,
Aged 16 to 64 years level 3 or above qualifications,Ceredigion,2020,67.7,per cent,73.8,61.6,
Aged 16 to 64 years level 3 or above qualifications,Blaenau Gwent,2020,47.2,per cent,55.1,39.3,
Aged 16 to 64 years level 3 or above qualifications,Gloucestershire,2020,63.7,per cent,68.7,58.7,
Aged 16 to 64 years level 3 or above qualifications,Nottinghamshire,2020,56.6,per cent,61.6,51.6,
Aged 16 to 64 years level 3 or above qualifications,Pembrokeshire,2020,58.6,per cent,64.5,52.7,
Aged 16 to 64 years level 3 or above qualifications,Ashfield,2020,50.6,per cent,63.7,37.5,
Aged 16 to 64 years level 3 or above qualifications,West Oxfordshire,2020,64.2,per cent,77.6,50.8,
Aged 16 to 64 years level 3 or above qualifications,Colchester,2020,54.2,per cent,64.4,44.0,
Aged 16 to 64 years level 3 or above qualifications,Cannock Chase,2020,47.9,per cent,66.3,29.5,
Aged 16 to 64 years level 3 or above qualifications,Stroud,2020,63.2,per cent,74.4,52.0,
Aged 16 to 64 years level 3 or above qualifications,Test Valley,2020,75.1,per cent,86.1,64.1,
Aged 16 to 64 years level 3 or above qualifications,Cheshire West and Chester,2020,65.6,per cent,73.7,57.5,
Aged 16 to 64 years level 3 or above qualifications,Greater Manchester (Metropolitan County),2020,57.7,per cent,59.7,55.7,
Aged 16 to 64 years level 3 or above qualifications,North Northamptonshire,2020,60.8,per cent,68.9,52.7,
Aged 16 to 64 years level 3 or above qualifications,Bassetlaw,2020,51.2,per cent,67.0,35.4,
Aged 16 to 64 years level 3 or above qualifications,North East (Region),2020,55.1,per cent,56.8,53.4,
Aged 16 to 64 years level 3 or above qualifications,Eastbourne,2020,48.4,per cent,64.4,32.4,
Aged 16 to 64 years level 3 or above qualifications,Epping Forest,2020,68.2,per cent,80.7,55.7,
Aged 16 to 64 years level 3 or above qualifications,East Staffordshire,2020,56.4,per cent,70.1,42.7,
Aged 16 to 64 years level 3 or above qualifications,Tewkesbury,2020,73.5,per cent,85.1,61.9,
Aged 16 to 64 years level 3 or above qualifications,Winchester,2020,69.8,per cent,82.2,57.4,
Aged 16 to 64 years level 3 or above qualifications,Windsor and Maidenhead,2020,73.0,per cent,78.0,68.0,
Aged 16 to 64 years level 3 or above qualifications,Shropshire,2020,59.9,per cent,66.0,53.8,
Aged 16 to 64 years level 3 or above qualifications,Merseyside,2020,57.1,per cent,59.9,54.3,
Aged 16 to 64 years level 3 or above qualifications,West Northamptonshire,2020,56.4,per cent,63.4,49.4,
Aged 16 to 64 years level 3 or above qualifications,Cambridgeshire,2020,66.2,per cent,71.6,60.8,
Aged 16 to 64 years level 3 or above qualifications,Hampshire,2020,65.6,per cent,69.2,62.0,
Aged 16 to 64 years level 3 or above qualifications,Oxfordshire,2020,67.6,per cent,72.8,62.4,
Aged 16 to 64 years level 3 or above qualifications,North East (Combined Authority),2020,52.2,per cent,55.1,49.3,
